x+1,y+1,angle0,angle1,angle2,angle3
0.6729875087738038,1.080572001139323,12,13,74,88
0.5126871109008789,1.269369379679362,15,15,73,89
0.8868152618408203,0.8789580027262369,7,19,67,88
0.9287368774414062,0.6307101567586263,2,23,62,88
1.2664843559265138,1.273599370320638,-5,9,80,88
0.7691111087799072,1.2800008138020833,7,11,79,88
0.6881416797637939,0.9935875574747721,13,16,70,88
0.932947826385498,1.2035399119059245,3,10,79,88
1.33841552734375,1.1694571177164714,-10,13,75,88
1.5069961547851562,1.332745361328125,-12,7,82,89
1.4788458824157715,1.0850613911946614,-13,13,74,88
0.9126456260681153,0.917913309733073,5,15,71,88
0.669914960861206,0.9649086634318034,14,16,71,88
0.46403918266296384,0.9517534891764323,16,18,67,88
0.48257031440734866,0.8745873769124349,17,19,66,88
0.7798074245452881,1.1000113169352213,9,15,72,89
0.6454357624053955,1.2010822296142578,11,11,76,88
1.4345429420471192,0.8804598490397135,-9,18,68,88
1.142463779449463,0.7923967997233072,0,12,76,78
1.0979418754577637,1.1451272328694662,0,19,66,89
1.1035030364990235,0.6649863560994467,0,20,66,88
1.0729561805725099,0.8780687967936198,0,17,69,88
1.1038981437683106,0.7741510391235351,0,19,66,81
0.8284337997436524,0.5190848668416341,4,22,63,88
0.9719396591186523,1.0896484375,4,12,76,88
1.0829147338867187,1.022609329223633,0,7,83,77
1.4802180290222169,1.1736387888590496,-12,13,75,88
1.3826265335083008,0.7771978378295898,-9,18,68,78
1.2346430778503419,0.8606971104939779,-5,18,68,89
1.3868584632873535,0.9602300643920898,-11,10,80,89
1.0789416313171387,1.016631507873535,0,14,74,89
0.7593054294586181,0.9927883783976237,10,10,79,80
1.1419960975646972,1.0738750457763673,0,17,69,89
0.8759052276611328,1.1631117502848307,4,10,79,88
0.5566030979156494,1.0344913482666016,13,15,73,88
1.187277889251709,1.0825201670328777,0,14,73,88
1.3426012992858887,1.32124875386556,-6,8,82,88
0.8676504135131836,0.9639353434244792,4,15,72,88
0.6653827667236328,1.1606791178385416,12,15,72,89
1.3402870178222657,1.1103724161783854,-8,10,78,80
1.5963576316833497,0.4959710756937663,-16,25,59,88
0.6936635971069336,0.7490226109822591,6,20,66,80
0.7113577842712402,0.6204212824503581,11,20,65,87
1.0493807792663574,0.9193630218505859,0,18,69,88
0.7605802059173584,1.2592971801757813,9,11,77,88
1.248794937133789,0.8867942174275716,-4,20,66,88
1.1016188621520997,0.9252987543741862,0,17,68,88
0.9257532119750976,0.7672353108723958,0,21,65,88
1.1174692153930663,0.6530542373657227,0,23,61,88
1.1500046730041504,1.2681931813557943,0,8,80,88
1.1805028915405273,1.2308245340983073,-7,9,80,83
0.9371841430664063,1.0507617950439454,2,15,72,88
1.0503491401672362,0.6873263041178386,0,19,68,76
0.9940665245056153,0.9578589757283529,0,18,67,89
0.7638311862945557,0.986213747660319,11,15,71,89
1.4390169143676759,0.7907648086547852,-10,19,66,88
1.4935244560241698,0.7561485290527343,-14,21,63,88
1.577911949157715,0.6088637034098308,-13,28,53,89
1.3827239990234375,1.2162628173828125,-12,13,74,89
1.5728431701660157,1.2088328043619792,-14,7,82,79
0.8563391685485839,1.0663202285766602,9,17,70,89
0.6047409534454345,0.6439057032267252,10,23,61,89
1.0288267135620117,0.4427464167277019,0,26,58,88
1.19821138381958,0.9255741119384766,0,19,66,89
1.4610547065734862,1.0485166549682616,-11,15,72,88
1.2449275970458984,0.8838687260945638,0,17,69,88
1.662251853942871,0.8335030873616537,-17,21,63,88
1.63948974609375,1.3872754414876303,-14,8,82,88
1.299438190460205,1.2334737141927083,-7,10,79,89
0.8784988403320313,1.2525800069173176,9,13,75,89
0.6446945667266846,1.2623945871988933,11,12,76,88
0.6800065994262695,1.1900389353434244,13,12,74,89
0.6255010604858399,0.9317792256673177,13,18,68,88
0.7515465259552002,0.6480337142944336,6,23,62,88
1.1125627517700196,0.504337215423584,0,24,59,88
1.301047420501709,0.4441458702087402,-2,26,60,78
1.5358538627624512,0.5450302759806316,-13,23,62,88
1.5294181823730468,1.0102357228597005,-17,19,67,89
1.5506500244140624,1.2849965413411457,-16,14,73,89
1.0715761184692383,1.1759342193603515,0,6,84,78
0.9802542686462402,0.8607554753621419,0,18,69,89
1.014316463470459,0.8140565872192382,0,18,68,88
1.0618186950683595,0.702157465616862,0,22,63,88
1.1985795974731446,0.6832863489786785,0,21,64,88
1.386899757385254,0.5962898254394531,-9,19,68,80
1.6052677154541015,0.7968456904093424,-15,20,66,88
1.6048437118530274,1.1084852854410807,-12,10,80,76
1.244127368927002,0.7924030303955079,0,17,69,89
0.8783594131469726,0.9042330423990885,0,11,77,77
0.8612967491149902,0.4947859128316243,4,22,62,88
0.915009880065918,0.885220464070638,0,20,66,88
0.6716946125030517,0.9875610987345378,13,16,70,88
0.6805432319641114,0.9959163029988607,11,19,67,89
0.525947093963623,0.8512538274129232,14,21,62,89
0.9608696937561035,1.066138458251953,0,14,74,88
1.0802955627441406,0.8751465479532877,0,16,70,88
1.3316469192504883,1.0679988861083984,-11,7,83,77
1.5985608100891113,0.7181222915649415,-14,21,64,88
1.3610600471496581,0.5965460459391276,-9,18,69,81
