X+1,Y+1,angle0,angle1,angle2,angle3
1.06706991195679,1.07889277140299,0,18,85,84
0.93075122833252,1.05126336415609,0,17,86,81
0.593320465087891,1.18774172465007,13,18,85,84
1.01466426849365,1.30468622843424,0,18,86,93
1.30513744354248,1.14155082702637,-4,19,86,86
0.795308256149292,1.05977884928385,8,16,86,82
1.11762208938599,0.835557874043782,0,18,85,80
0.730842351913452,0.926496569315592,9,16,84,82
1.25576496124268,1.27126401265462,-3,20,84,92
0.627033615112305,1.16449012756348,14,17,86,83
1.02982568740845,0.819696426391602,0,17,86,78
1.44580812454224,0.784772173563639,-11,16,85,76
0.76060962677002,0.998809814453125,6,18,85,82
0.722043657302856,1.19975624084473,15,17,86,84
0.648984670639038,0.501534875233968,10,21,81,72
1.40230865478516,0.531920464833577,-7,18,86,73
1.29786787033081,0.712345377604167,-7,18,85,76
0.981211471557617,1.04873167673747,0,19,85,84
0.705138683319092,1.16934598286947,14,16,87,82
1.28681764602661,1.18514417012533,-4,16,86,86
1.09131021499634,0.822355206807454,0,19,85,81
1.52810344696045,0.965134811401367,-13,20,82,84
0.971598148345947,1.15804392496745,0,18,85,85
1.42915954589844,1.14940872192383,-14,19,83,88
0.635913467407226,1.19394543965658,15,17,86,83
1.38064842224121,1.21211776733398,-7,18,85,85
0.976320171356201,1.07968877156576,0,18,86,83
1.0514105796814,1.17931442260742,0,15,87,83
0.704859828948975,1.0513968149821,12,16,86,83
1.22707977294922,0.762177403767904,-2,15,86,78
0.775162696838379,0.84752082824707,6,16,86,78
0.711334228515625,1.1126880645752,14,17,85,85
1.38183240890503,0.695682843526204,-7,18,86,74
0.639806222915649,0.769567998250326,11,16,86,76
1.01626815795898,0.516399192810059,0,16,86,73
1.35263719558716,1.2666571299235,-8,15,86,88
0.436057853698731,1.13810742696126,20,16,85,82
1.32585039138794,0.963416163126628,-4,17,86,82
0.735455513000488,1.17845726013184,10,17,85,84
1.28384971618652,1.02842807769775,-5,16,85,84
1.00657997131348,1.00640970865885,0,16,86,82
1.05168447494507,1.26789792378743,0,18,86,89
0.668771409988403,1.29537709554036,16,17,86,88
1.4800669670105,1.28571815490723,-12,15,86,88
1.12995910644531,0.983971659342448,0,16,86,83
0.688894367218018,0.972471682230631,10,16,86,80
0.461937952041626,0.985074361165365,18,16,85,80
1.27716646194458,1.15095634460449,-4,17,86,86
0.763414192199707,1.11908696492513,10,17,85,86
0.828071117401123,0.791818809509277,9,15,86,77
1.34112644195557,1.29479166666667,-7,17,86,89
0.70665135383606,1.30453287760417,12,16,86,87
1.2227819442749,1.14083925882975,-4,17,86,86
1.02873258590698,0.95495433807373,0,17,85,82
1.03127155303955,1.2400146484375,0,17,86,87
1.26041173934937,0.918645731608073,-3,16,86,81
1.47938766479492,0.630076662699381,-12,18,85,76
0.518861246109009,0.717319107055664,15,17,86,74
1.25013589859009,1.1116449991862,-4,16,86,84
1.11463060379028,0.886682955423991,0,15,85,82
0.714547634124756,1.16754455566406,8,16,86,85
1.2334246635437,1.01269556681315,-3,17,86,83
1.3394250869751,0.861781692504883,-6,16,86,78
0.780614614486694,0.832352066040039,7,16,86,78
1.46007976531982,1.01150773366292,-10,17,86,83
1.01784839630127,1.07995923360189,0,17,86,85
1.39099311828613,0.624849319458008,-7,17,86,75
1.03946962356567,0.713122749328613,0,17,85,76
0.714522981643677,0.822234217325846,11,16,86,78
1.14291009902954,1.03509216308594,0,16,86,83
1.23741664886475,0.973456192016602,-4,16,86,82
0.562131690979004,1.01201426188151,14,16,86,80
0.608844518661499,1.32718187967936,17,14,86,86
1.40122098922729,1.24707209269206,-10,17,86,88
1.41629695892334,0.907809448242187,-10,16,86,81
1.2376953125,0.656663449605306,-4,18,85,75
0.866862964630127,0.718977228800456,6,17,85,77
0.576424026489258,1.00382804870605,14,16,86,79
0.592586183547974,1.34776738484701,18,15,86,88
1.53337688446045,1.13655662536621,-14,15,86,84
